feature,mean_abs_shap_ham,mean_abs_shap_isic,rank_ham,rank_isic
C_glcm_contrast_d2,0.15375458,0.15374452,1.0,1.0
C_color_mean_v,0.029003548,0.029602492,2.0,2.0
C_color_mean_s,0.012603672,0.012384715,3.0,3.0
C_color_std_s,0.0077464567,0.0077902935,4.0,4.0
A_asymmetry,0.004856112,0.0050169816,5.0,5.0
B_border_irreg,0.0029017085,0.002900531,6.0,6.0
C_glcm_homogeneity_d2,0.0007226914,0.0007194407,7.0,7.0
C_color_std_v,0.0004215099,0.0004136235,8.0,8.0
C_glcm_homogeneity_d1,0.0003158356,0.00030001492,9.0,10.0
C_glcm_contrast_d1,0.00029487823,0.00031103654,10.0,9.0
