dataset,method_a,method_b,metric,point_diff,ci_low,ci_high
BCN20000,ABC-conditioned,Temperature,AUC,0.04186959818899272,0.03350170038873839,0.0506505683337638
BCN20000,ABC-conditioned,Temperature,Brier,0.020487424168473822,0.017394554491498883,0.023634317133945468
BCN20000,ABC-conditioned,Temperature,INB_0.02_0.50,-0.02600513093802781,-0.029497402591290044,-0.02257334252690105
BCN20000,ABC-conditioned,Platt,AUC,0.04186959818899272,0.033394790425436596,0.050861312896306646
BCN20000,ABC-conditioned,Platt,Brier,0.011636615335219702,0.009800474097150614,0.013430629338400571
BCN20000,ABC-conditioned,Platt,INB_0.02_0.50,-0.01315674945276886,-0.01525553113428221,-0.010915172187376995
BCN20000,ABC-conditioned,Isotonic,AUC,0.044245896890909964,0.035826387396227156,0.05210685797197111
BCN20000,ABC-conditioned,Isotonic,Brier,0.011601855584470466,0.009587426884675069,0.013548028535705647
BCN20000,ABC-conditioned,Isotonic,INB_0.02_0.50,-0.013617281945851017,-0.016035166969904917,-0.011452309314713718
BCN20000,ABC-conditioned,Beta,AUC,0.04186959818899272,0.033901415933298845,0.049917275731809624
BCN20000,ABC-conditioned,Beta,Brier,0.012287737315271996,0.01039199623876314,0.014279813067450088
BCN20000,ABC-conditioned,Beta,INB_0.02_0.50,-0.014605914175675541,-0.01702465378706313,-0.012127310174021945
BCN20000,ABC-conditioned,Prevalence-only,AUC,0.04186959818899272,0.03335751512448124,0.05005300226005368
BCN20000,ABC-conditioned,Prevalence-only,Brier,-0.00431228574367018,-0.00724893567415626,-0.001213939143852721
BCN20000,ABC-conditioned,Prevalence-only,INB_0.02_0.50,-0.004669379715499716,-0.007529076280151616,-0.0018695157614206403
