dataset,model,bin,binning,N,positives,predicted_mean,predicted_mean_ci_low,predicted_mean_ci_high,observed_fraction,observed_fraction_ci_low,observed_fraction_ci_high
HAM test,ABC-only,1,equal_frequency,151,0,0.0022710156423841063,0.00212573703480298,0.002423486151057947,0.0,0.0,0.0
HAM test,ABC-only,2,equal_frequency,151,1,0.005564346391390729,0.005401938666821191,0.005715027900149007,0.006622516556291391,0.0,0.019867549668874173
HAM test,ABC-only,3,equal_frequency,151,1,0.010566934020529802,0.010245900716639073,0.010903553806622515,0.006622516556291391,0.0,0.019867549668874173
HAM test,ABC-only,4,equal_frequency,151,5,0.021516083493377483,0.020852713501490067,0.022150161913741723,0.033112582781456956,0.006622516556291391,0.06622516556291391
HAM test,ABC-only,5,equal_frequency,151,10,0.0389471457615894,0.03790996846672186,0.03999941673145695,0.06622516556291391,0.026490066225165563,0.10612582781456939
HAM test,ABC-only,6,equal_frequency,151,15,0.06693163694039735,0.06519102179668873,0.06842746084172185,0.09933774834437085,0.052980132450331126,0.152317880794702
HAM test,ABC-only,7,equal_frequency,151,22,0.10951445297350994,0.10717059027201987,0.11214320258923845,0.1456953642384106,0.09271523178807947,0.2052980132450331
HAM test,ABC-only,8,equal_frequency,151,26,0.17678157470198674,0.17314797973013243,0.18006669858609273,0.17218543046357615,0.11920529801324503,0.23841059602649006
HAM test,ABC-only,9,equal_frequency,151,29,0.2698209188741722,0.2644462511357616,0.2750096757582781,0.19205298013245034,0.13245033112582782,0.25182119205298
HAM test,ABC-only,10,equal_frequency,151,58,0.45100163867549675,0.4359262498559602,0.46515361953311246,0.3841059602649007,0.304635761589404,0.46357615894039733
HAM test,Deep,1,equal_frequency,151,0,8.150455970575317e-19,5.193928202693526e-19,1.1464705166555644e-18,0.0,0.0,0.0
HAM test,Deep,2,equal_frequency,151,0,8.498286731051769e-13,5.636048722160632e-13,1.1625478980725833e-12,0.0,0.0,0.0
HAM test,Deep,3,equal_frequency,151,0,6.800716260744433e-09,4.9957067942350356e-09,8.921041691813983e-09,0.0,0.0,0.0
HAM test,Deep,4,equal_frequency,151,1,2.219253092347073e-06,1.8153852560353222e-06,2.6347827796021723e-06,0.006622516556291391,0.0,0.019867549668874173
HAM test,Deep,5,equal_frequency,151,9,6.15202595164229e-05,5.4736512854864946e-05,6.902123818131862e-05,0.059602649006622516,0.026490066225165563,0.09933774834437085
HAM test,Deep,6,equal_frequency,151,2,0.0006770509106664694,0.0006094818087148612,0.0007343354554663612,0.013245033112582781,0.0,0.033112582781456956
HAM test,Deep,7,equal_frequency,151,15,0.0041307915111583726,0.003837356504321886,0.0044708217340574926,0.09933774834437085,0.052980132450331126,0.1456953642384106
HAM test,Deep,8,equal_frequency,151,21,0.032549157633834674,0.028781757555248175,0.035818635361941346,0.1390728476821192,0.08609271523178808,0.1986754966887417
HAM test,Deep,9,equal_frequency,151,35,0.3948504945497639,0.35884971231074125,0.43109734487528634,0.23178807947019867,0.16556291390728478,0.29817880794701973
HAM test,Deep,10,equal_frequency,151,84,0.968290390163068,0.9614380730106341,0.974669824106409,0.5562913907284768,0.4768211920529801,0.6357615894039735
HAM test,Hybrid,1,equal_frequency,151,0,3.5517510778145696e-05,3.421223524950331e-05,3.6867971584850996e-05,0.0,0.0,0.0
HAM test,Hybrid,2,equal_frequency,151,0,6.735704747019867e-05,6.564136928774833e-05,6.891444141059605e-05,0.0,0.0,0.0
HAM test,Hybrid,3,equal_frequency,151,0,0.00012133165954966888,0.0001178470970960265,0.00012488267894751655,0.0,0.0,0.0
HAM test,Hybrid,4,equal_frequency,151,3,0.00025513634112582777,0.0002451293013096026,0.00026459433861092716,0.019867549668874173,0.0,0.046357615894039736
HAM test,Hybrid,5,equal_frequency,151,5,0.0005767898051655628,0.0005562378352665563,0.0005981824375596026,0.033112582781456956,0.006622516556291391,0.06622516556291391
HAM test,Hybrid,6,equal_frequency,151,6,0.0014123917094039733,0.001347138008897351,0.0014683905510264898,0.039735099337748346,0.013245033112582781,0.0728476821192053
HAM test,Hybrid,7,equal_frequency,151,15,0.0040616789576158946,0.0038638701600331123,0.004288891855182119,0.09933774834437085,0.052980132450331126,0.152317880794702
HAM test,Hybrid,8,equal_frequency,151,19,0.01413353549337748,0.01324495715576159,0.014934114854337746,0.12582781456953643,0.07947019867549669,0.17880794701986755
HAM test,Hybrid,9,equal_frequency,151,41,0.08090363464900663,0.07302513032201986,0.08896255216804634,0.271523178807947,0.20513245033112584,0.3443708609271523
HAM test,Hybrid,10,equal_frequency,151,78,0.6456687954304635,0.6031538550811258,0.6861151398956954,0.5165562913907285,0.4435430463576159,0.5894039735099338
BCN20000,ABC-only,1,equal_frequency,1242,74,0.00399893465694847,0.003904454401305757,0.004088532784957528,0.05958132045088567,0.04667874396135266,0.07326892109500806
BCN20000,ABC-only,2,equal_frequency,1242,123,0.010034676799436393,0.009932397551229872,0.010136704814623589,0.09903381642512077,0.08373590982286634,0.11515700483091786
BCN20000,ABC-only,3,equal_frequency,1242,161,0.017428032673510466,0.01728751979362923,0.017568248228170293,0.12962962962962962,0.11191626409017713,0.1489734299516908
BCN20000,ABC-only,4,equal_frequency,1241,206,0.02748281736986301,0.027294027879331186,0.027681173079008865,0.16599516518936341,0.14585012087026591,0.1861402095084609
BCN20000,ABC-only,5,equal_frequency,1241,246,0.04092472747622885,0.04066182521349718,0.041190541709871076,0.1982272360999194,0.17566478646253023,0.22240128928283642
BCN20000,ABC-only,6,equal_frequency,1241,287,0.06010709204995972,0.05975208008666398,0.06045352356855359,0.23126510878323933,0.20709105560032232,0.25463336019339244
BCN20000,ABC-only,7,equal_frequency,1241,345,0.08605885224254634,0.0856394392755842,0.08652585935322321,0.27800161160354553,0.25302175664786464,0.3013698630136986
BCN20000,ABC-only,8,equal_frequency,1241,396,0.12189182251168412,0.12115343023626107,0.12259235359758258,0.31909750201450443,0.29170024174053183,0.3432917002417405
BCN20000,ABC-only,9,equal_frequency,1241,483,0.18291237306204672,0.18146965002538276,0.18420876480701048,0.38920225624496374,0.36180499597099114,0.41659951651893634
BCN20000,ABC-only,10,equal_frequency,1241,536,0.3237035019903304,0.31921336670406936,0.32873159833058013,0.43190975020145045,0.40128928283642223,0.45850120870265915
BCN20000,Deep,1,equal_frequency,1242,116,2.0196854870307411e-07,1.8905474666413881e-07,2.1501968628652308e-07,0.09339774557165861,0.07729468599033816,0.11030595813204509
BCN20000,Deep,2,equal_frequency,1242,137,3.6607959903945253e-06,3.5371328600613927e-06,3.7819572844834936e-06,0.11030595813204509,0.09420289855072464,0.1280193236714976
BCN20000,Deep,3,equal_frequency,1242,158,2.1158339107085345e-05,2.0618193458313203e-05,2.1687592946698876e-05,0.12721417069243157,0.10869565217391304,0.14653784219001612
BCN20000,Deep,4,equal_frequency,1241,183,8.721313434488315e-05,8.541622094568897e-05,8.922025527197824e-05,0.14746172441579372,0.128928283642224,0.16599516518936341
BCN20000,Deep,5,equal_frequency,1241,187,0.00030304647485898467,0.000297283405601531,0.0003090225845741338,0.1506849315068493,0.13215149073327961,0.1708299758259468
BCN20000,Deep,6,equal_frequency,1241,223,0.0010186698382917002,0.00099950754435556,0.0010369276161657937,0.17969379532634971,0.1571313456889605,0.1998388396454472
BCN20000,Deep,7,equal_frequency,1241,312,0.003792129266478646,0.003714717752910959,0.0038798430108158742,0.25141015310233683,0.22804190169218372,0.2763900080580177
BCN20000,Deep,8,equal_frequency,1241,345,0.017914295170427072,0.01742271593794722,0.01838313536902095,0.27800161160354553,0.25302175664786464,0.30620467365028203
BCN20000,Deep,9,equal_frequency,1241,464,0.14133682197904915,0.13567849157751813,0.14643329805141014,0.37389202256244963,0.34566881547139405,0.3988718775181305
BCN20000,Deep,10,equal_frequency,1241,732,0.7984159416680096,0.7860272233239324,0.8098676295147059,0.5898468976631749,0.5608380338436745,0.6172441579371475
BCN20000,Hybrid,1,equal_frequency,1242,78,7.762957225603864e-05,7.622453557622785e-05,7.897077600495169e-05,0.06280193236714976,0.04911433172302738,0.07568438003220612
BCN20000,Hybrid,2,equal_frequency,1242,101,0.00016293596295088568,0.0001614796325087762,0.0001643871987996377,0.08132045088566828,0.06521739130434782,0.09663848631239934
BCN20000,Hybrid,3,equal_frequency,1242,131,0.0002735496980354267,0.0002713384863270934,0.00027573558495189214,0.10547504025764895,0.0893719806763285,0.12320853462157809
BCN20000,Hybrid,4,equal_frequency,1241,156,0.0004438865860112812,0.0004406016721192587,0.0004473303414943594,0.12570507655116842,0.10797743755036261,0.145044319097502
BCN20000,Hybrid,5,equal_frequency,1241,192,0.0007106317472119259,0.0007048769087111201,0.0007165412898843675,0.15471394037066882,0.13376309427880742,0.17324738114423852
BCN20000,Hybrid,6,equal_frequency,1241,209,0.0012356213603706688,0.0012240597390636584,0.0012470517419784447,0.16841257050765512,0.14907332796132153,0.1893835616438356
BCN20000,Hybrid,7,equal_frequency,1241,269,0.002411812574456084,0.0023847824686482675,0.002442140136029412,0.21676067687348913,0.19419822723609992,0.23851732473811443
BCN20000,Hybrid,8,equal_frequency,1241,368,0.0059277444734891225,0.005823948478058018,0.006027631035672844,0.29653505237711525,0.27074939564867045,0.32232070910556004
BCN20000,Hybrid,9,equal_frequency,1241,504,0.027167855561643833,0.026224499748579776,0.02802859629111604,0.40612409347300565,0.3811240934730057,0.43352135374697826
BCN20000,Hybrid,10,equal_frequency,1241,849,0.44217175319661567,0.4241573691909549,0.460145421841116,0.6841257050765511,0.6583400483481063,0.7115431103948429
