dataset,model_family,range,mean_NB_raw,mean_NB_platt,mean_NB_isotonic,comparison,mean_delta_NB,max_delta_NB,thr_at_max_delta
HAM_test,deep,0.02-0.20,0.06389426040281952,0.06304665632529546,0.06860247379279476,,,,
HAM_test,deep,0.02-0.20,,,,platt_minus_raw,-0.0008476040775240486,0.01059602649006619,0.04
HAM_test,deep,0.02-0.20,,,,isotonic_minus_raw,0.004708213389975247,0.014378370997473897,0.03
HAM_test,deep,0.02-0.50,0.039259879260715703,0.04183248445155972,0.044437803660490875,,,,
HAM_test,deep,0.02-0.50,,,,platt_minus_raw,0.002572605190844014,0.016556291390728402,0.5
HAM_test,deep,0.02-0.50,,,,isotonic_minus_raw,0.005177924399775169,0.0172185430463575,0.5
HAM_test,deep,0.10-0.50,0.03254951313307103,0.035281771550572355,0.03681968036679772,,,,
HAM_test,deep,0.10-0.50,,,,platt_minus_raw,0.002732258417501329,0.016556291390728402,0.5
HAM_test,deep,0.10-0.50,,,,isotonic_minus_raw,0.004270167233726687,0.0172185430463575,0.5
HAM_test,hybrid,0.02-0.20,0.054703726052802666,0.05422088594539748,0.06751749995775898,,,,
HAM_test,hybrid,0.02-0.20,,,,platt_minus_raw,-0.0004828401074051948,0.014542505744019496,0.02
HAM_test,hybrid,0.02-0.20,,,,isotonic_minus_raw,0.01281377390495631,0.020705500743343708,0.02
HAM_test,hybrid,0.02-0.50,0.037386837422810196,0.037176738154404615,0.04209350589498344,,,,
HAM_test,hybrid,0.02-0.50,,,,platt_minus_raw,-0.00021009926840557557,0.014542505744019496,0.02
HAM_test,hybrid,0.02-0.50,,,,isotonic_minus_raw,0.004706668472173248,0.020705500743343708,0.02
HAM_test,hybrid,0.10-0.50,0.03199595774368483,0.030811755550429823,0.03407551962336314,,,,
HAM_test,hybrid,0.10-0.50,,,,platt_minus_raw,-0.0011842021932549952,0.002943340691685,0.28
HAM_test,hybrid,0.10-0.50,,,,isotonic_minus_raw,0.0020795618796783126,0.014422369389256798,0.1
