dataset,model,subgroup_variable,subgroup_level,N,positives,prevalence,Brier,ECE,Brier_boot_mean,Brier_ci_low,Brier_ci_high,ECE_boot_mean,ECE_ci_low,ECE_ci_high,bootstrap_resamples
BCN20000,ABC-only,age_group,40-59,4179,1010,0.24168461354391002,0.1951378971738541,0.1483680964406078,0.19524967902502025,0.18499610135988398,0.20525512487044,0.14843928775316426,0.1353927591368677,0.16110327066307908,1000
BCN20000,ABC-only,age_group,60-74,3275,859,0.26229007633587786,0.21308861751548516,0.18083514228936182,0.21323551687551504,0.2002925578572313,0.22565787808626714,0.18093273559360387,0.16569487620785037,0.19572407924682442,1000
BCN20000,ABC-only,age_group,<=39,1963,219,0.11156393275598574,0.1006559921001165,0.05038771106824758,0.10074186395030114,0.08953325759040197,0.11152422417995894,0.05295955426474878,0.040696927032204414,0.06612108483207285,1000
BCN20000,ABC-only,age_group,>=75,2918,756,0.2590815627141878,0.20062545742677654,0.17807000056755998,0.2006891103227103,0.18822833422560376,0.21357891059705253,0.17811717610128716,0.1633638034681461,0.19308191239945294,1000
BCN20000,ABC-only,age_group,Missing,78,13,0.16666666666666666,0.15244219852029287,0.1269822971102564,0.15275967316443273,0.09168701469717613,0.22094406349341641,0.14639013535493334,0.08286464259115384,0.22530496120980772,1000
BCN20000,ABC-only,sex,Missing,74,13,0.17567567567567569,0.16043335024365438,0.13605003025135134,0.16059093621005407,0.09618493352849189,0.23374320231396475,0.15669814975935673,0.09139528040783784,0.2287807973795945,1000
BCN20000,ABC-only,sex,female,5840,1379,0.23613013698630136,0.1891460451176746,0.15284647028694864,0.18919694762556533,0.1808437413267958,0.19734581199131832,0.15294080987602401,0.14257665645248505,0.16251620230059166,1000
BCN20000,ABC-only,sex,male,6499,1465,0.22541929527619634,0.18337664440620802,0.13429909203143406,0.18343469063163664,0.17588766030623798,0.19162958032513802,0.13441560028091165,0.12497377497895211,0.14463948002391483,1000
BCN20000,ABC-only,anatom_site_general,Missing,173,12,0.06936416184971098,0.06389151368917315,0.05636813475930637,0.06397883324952136,0.03698200335886683,0.0946122319863046,0.06279319197418821,0.03064671299104046,0.09836974876049133,1000
BCN20000,ABC-only,anatom_site_general,anterior torso,5086,1127,0.22158867479355093,0.17752073640857513,0.11991386167155918,0.17746441191359563,0.16842093071891617,0.18649342932758078,0.12019915769193477,0.10903515037507393,0.1317056467583818,1000
BCN20000,ABC-only,anatom_site_general,head/neck,3223,635,0.19702140862550419,0.16221287983772806,0.12326051333722618,0.16194218445401826,0.15090966089055005,0.1728500698808138,0.12300381681247291,0.10994344796037295,0.13687041303309347,1000
BCN20000,ABC-only,anatom_site_general,lower extremity,2173,489,0.22503451449608836,0.18257639249980281,0.1432749887641694,0.1824853385422499,0.16826629737762516,0.1953374184603378,0.1430661805276602,0.12609652054332582,0.1593411091973692,1000
BCN20000,ABC-only,anatom_site_general,oral/genital,59,19,0.3220338983050847,0.2865406265970393,0.27685660574237286,0.2859591272138657,0.18665421542655158,0.3903258365515562,0.2836572987978712,0.18338022043033897,0.3964420404800848,1000
BCN20000,ABC-only,anatom_site_general,palms/soles,380,195,0.5131578947368421,0.4407372498204419,0.4534012668918422,0.4411465750902599,0.3977350074480661,0.48475204703167996,0.4538062598140616,0.40558732253996055,0.5026772724771316,1000
BCN20000,ABC-only,anatom_site_general,upper extremity,1319,380,0.2880970432145565,0.22015877303934295,0.20163477309322214,0.22028484584839925,0.2014574879425255,0.23820842073868614,0.20191710414142056,0.179139027972851,0.22408077881162053,1000
BCN20000,ABC-only,diagnosis_1,Benign,5579,0,0.0,0.01827410674542586,0.09228591298301309,0.018300087466028313,0.017333460141422903,0.01935181628610588,0.09233314252577217,0.08972750850073244,0.09497045888058117,1000
BCN20000,ABC-only,diagnosis_1,Indeterminate,737,0,0.0,0.006169029241125188,0.046876201224626865,0.006192719694053987,0.004897954202488165,0.0076425132741439784,0.04696595096668737,0.042579612312514926,0.05176947876191791,1000
BCN20000,ABC-only,diagnosis_1,Malignant,6097,2857,0.4685911103821552,0.36112054573031904,0.38069079122969496,0.3614261764426768,0.35121424708903176,0.3716356760660785,0.38104780220282236,0.3689610071439684,0.393368206039523,1000
BCN20000,ABC-only,diagnosis_2,Benign epidermal proliferations,1138,0,0.0,0.016488951980278985,0.08833047563216169,0.01648166445411857,0.014630554297806249,0.018533404804645753,0.08829170683485553,0.08314563171484622,0.09373886480329087,1000
BCN20000,ABC-only,diagnosis_2,Benign melanocytic proliferations,4206,0,0.0,0.019373612475030666,0.09561850381631715,0.019374256651989705,0.018229617793010546,0.020584731005655235,0.09559341804441633,0.0927530713273813,0.09865127442945892,1000
BCN20000,ABC-only,diagnosis_2,Benign soft tissue proliferations - Fibro-histiocytic,124,0,0.0,0.0048258277633751664,0.03810955716532258,0.004787236052907497,0.0024073649818151517,0.00814055774211779,0.037966776217854034,0.028436087729193548,0.0496123127384879,1000
BCN20000,ABC-only,diagnosis_2,Benign soft tissue proliferations - Vascular,111,0,0.0,0.009936914112935704,0.06708121732342343,0.00992240889763108,0.006213619925989617,0.01417621197443739,0.0670823967509117,0.05277593491702703,0.08123761575477477,1000
BCN20000,ABC-only,diagnosis_2,Indeterminate epidermal proliferations,737,0,0.0,0.006169029241125188,0.046876201224626865,0.0061581424169436655,0.00485583634854129,0.007600509587204347,0.046791048908817134,0.042207535361683854,0.051498604595283576,1000
BCN20000,ABC-only,diagnosis_2,Malignant adnexal epithelial proliferations - Follicular,2809,0,0.0,0.00560615279629262,0.04570340140338555,0.005618705592813216,0.00503344010965519,0.00624823239417188,0.04573721396789055,0.04361441138204833,0.04798042688311748,1000
BCN20000,ABC-only,diagnosis_2,Malignant epidermal proliferations,431,0,0.0,0.00950873511233519,0.05743048756104409,0.009513156342366831,0.007209336465171718,0.012010678810922293,0.05743982240273151,0.05065636313376566,0.06507459030630683,1000
BCN20000,ABC-only,diagnosis_2,Malignant melanocytic proliferations (Melanoma),2857,2857,1.0,0.7637052920124443,0.8660151028380716,0.7636960041229163,0.7573625224579187,0.7705817559959488,0.8660126569110703,0.8619529036429312,0.8703606828003764,1000
BCN20000,ABC-only,diagnosis_3,Basal cell carcinoma,2809,0,0.0,0.00560615279629262,0.04570340140338555,0.005624932179238145,0.005039450404071859,0.006209350447643149,0.045776143238208084,0.043687847326177996,0.047843028441583835,1000
BCN20000,ABC-only,diagnosis_3,Dermatofibroma,124,0,0.0,0.0048258277633751664,0.03810955716532258,0.004832769624910708,0.002526767034892402,0.00796446735150873,0.038140582721756446,0.028727235556512094,0.048710458266290314,1000
BCN20000,ABC-only,diagnosis_3,"Melanoma, NOS",2857,2857,1.0,0.7637052920124443,0.8660151028380716,0.7636149352276145,0.7569733317168518,0.7704007838726142,0.8659540671583453,0.861605473083375,0.87026310966556,1000
BCN20000,ABC-only,diagnosis_3,Missing,111,0,0.0,0.009936914112935704,0.06708121732342343,0.009892098254282196,0.006159264655833982,0.01410024904011964,0.0668283405744982,0.053390910765045055,0.08110439749772522,1000
BCN20000,ABC-only,diagnosis_3,Nevus,4206,0,0.0,0.019373612475030666,0.09561850381631715,0.01934669975249684,0.018197411877020155,0.02052623718455939,0.09557174130629231,0.09256728538382009,0.09843501083221938,1000
BCN20000,ABC-only,diagnosis_3,Seborrheic keratosis,929,0,0.0,0.0163733194904955,0.08751030255618944,0.01635636039593121,0.0143807813028525,0.018576333356782007,0.08746969688407201,0.08178855150920344,0.09344098813403659,1000
BCN20000,ABC-only,diagnosis_3,Solar lentigo,209,0,0.0,0.017002935631039058,0.09197612533349282,0.01700944870734061,0.013128258235691007,0.021423310686901842,0.0920398720191842,0.08005740089935406,0.10550388610053828,1000
BCN20000,ABC-only,diagnosis_3,Solar or actinic keratosis,737,0,0.0,0.006169029241125188,0.046876201224626865,0.006182555592036258,0.004963043632945087,0.007605855390735447,0.046854326443255045,0.04268840718566147,0.051209867306803596,1000
BCN20000,ABC-only,diagnosis_3,"Squamous cell carcinoma, NOS",431,0,0.0,0.00950873511233519,0.05743048756104409,0.009499239840926134,0.007076435766784783,0.012207106440110374,0.05731458987314735,0.04989777173698608,0.06444492410034514,1000
BCN20000,Deep,age_group,40-59,4179,1010,0.24168461354391002,0.1881678940655224,0.16983822658839884,0.18815504434616248,0.17699262375521066,0.19935691151638948,0.1700190071745322,0.15792253754036328,0.1824459487849089,1000
BCN20000,Deep,age_group,60-74,3275,859,0.26229007633587786,0.20944495669364305,0.1938518830378055,0.20922856379313293,0.1970318212642218,0.22231167084116238,0.19418293629620012,0.18087456531798324,0.2089812989986236,1000
BCN20000,Deep,age_group,<=39,1963,219,0.11156393275598574,0.10718779703552682,0.09688098010632841,0.10721890565600288,0.09461906869150785,0.12017278042487745,0.09666262505123413,0.08313725634137031,0.11076409295908468,1000
BCN20000,Deep,age_group,>=75,2918,756,0.2590815627141878,0.22500787416638224,0.20673098185183417,0.2247374030878329,0.21137618117009505,0.23978861075691169,0.20635452881108976,0.19053968777019328,0.22204944840051616,1000
BCN20000,Deep,age_group,Missing,78,13,0.16666666666666666,0.20147490935973444,0.2191903142643963,0.19983145737074096,0.12022913878043273,0.2834119221362091,0.21653752548257488,0.1350919778637325,0.29933021401609455,1000
BCN20000,Deep,sex,Missing,74,13,0.17567567567567569,0.2122587045518185,0.23047186220421503,0.21359730067406987,0.13014454757853233,0.30217339540040433,0.22977122678120668,0.14280581221784555,0.31502688922675726,1000
BCN20000,Deep,sex,female,5840,1379,0.23613013698630136,0.18672385495380553,0.16720897263185303,0.1869263420017812,0.17715368206508203,0.19639616264440646,0.16744208028182225,0.15651604861203075,0.17845293570651308,1000
BCN20000,Deep,sex,male,6499,1465,0.22541929527619634,0.19215403457958785,0.17625261691814093,0.192377159735478,0.18405463886587314,0.20138171175569566,0.17616417992209193,0.16706155850108936,0.18622705443482013,1000
BCN20000,Deep,anatom_site_general,Missing,173,12,0.06936416184971098,0.08421526316283014,0.07820269597937743,0.08399286620482797,0.05052238372938946,0.12181770746091365,0.07622973735661509,0.03479814387478625,0.11685864324478763,1000
BCN20000,Deep,anatom_site_general,anterior torso,5086,1127,0.22158867479355093,0.1704554746075625,0.15454562697174237,0.17099795834106174,0.161369956128319,0.18051412949383672,0.1547449390489495,0.1436675604332876,0.16569117174711942,1000
BCN20000,Deep,anatom_site_general,head/neck,3223,635,0.19702140862550419,0.1923823030205969,0.17067454297131984,0.19239589738208732,0.1802200729606364,0.2055174476368112,0.17058334714485937,0.15803457494715822,0.18369874275871728,1000
BCN20000,Deep,anatom_site_general,lower extremity,2173,489,0.22503451449608836,0.1724618649769431,0.1487411661005937,0.17264868044706674,0.15755933941112935,0.1874707758779184,0.15042563641525214,0.1340976614720126,0.16744869925439823,1000
BCN20000,Deep,anatom_site_general,oral/genital,59,19,0.3220338983050847,0.34902902041516026,0.3446760153843688,0.3515414902929023,0.24272607688116024,0.4578196888750116,0.3476413552514077,0.23312615610442378,0.46468253533691917,1000
BCN20000,Deep,anatom_site_general,palms/soles,380,195,0.5131578947368421,0.4465530608577548,0.4347071919674141,0.44777501264267483,0.39810603283364365,0.4961471915973036,0.4378861746187634,0.39002278346545194,0.4894333725174701,1000
BCN20000,Deep,anatom_site_general,upper extremity,1319,380,0.2880970432145565,0.2186406920832797,0.21356146439950935,0.21867600341669355,0.19744101383386936,0.24144851333070774,0.21369415995859023,0.1909183114770479,0.23733363094162227,1000
BCN20000,Deep,diagnosis_1,Benign,5579,0,0.0,0.026422013077763356,0.0425587047239608,0.026554780455003393,0.023311880836157876,0.030317330956119895,0.042683037600750144,0.03873046161636043,0.046954352724819313,1000
BCN20000,Deep,diagnosis_1,Indeterminate,737,0,0.0,0.07233152696545497,0.09861030326505264,0.07225271407253496,0.057115802471647464,0.08951896952177797,0.09855062378965275,0.08186502207032778,0.11781304937549184,1000
BCN20000,Deep,diagnosis_1,Malignant,6097,2857,0.4685911103821552,0.3533322587281317,0.3455081336417994,0.3534426125954076,0.3424659615145091,0.36437818511178904,0.34531202664980387,0.3331823601521035,0.35752572173182334,1000
BCN20000,Deep,diagnosis_2,Benign epidermal proliferations,1138,0,0.0,0.05339174608362029,0.07639067774219942,0.0535519899141612,0.04285309817987045,0.06579607091616713,0.07650603617448705,0.06420604915755806,0.09045158825202161,1000
BCN20000,Deep,diagnosis_2,Benign melanocytic proliferations,4206,0,0.0,0.020154150313554726,0.03464142062134061,0.020136546933023226,0.016858428744457893,0.023508557962042764,0.034647135519179986,0.03089446891460611,0.03882978524699314,1000
BCN20000,Deep,diagnosis_2,Benign soft tissue proliferations - Fibro-histiocytic,124,0,0.0,0.008896363589266059,0.016851589782423963,0.008925365790135113,8.816202882096207e-05,0.02159027023237448,0.01683829506319784,0.0028487211130416626,0.03489235275732346,1000
BCN20000,Deep,diagnosis_2,Benign soft tissue proliferations - Vascular,111,0,0.0,0.007000888412628169,0.024423514576352955,0.006968013485403914,0.0020319774928409854,0.012891482623444625,0.024348866354286732,0.010990414249286415,0.03956961145954903,1000
BCN20000,Deep,diagnosis_2,Indeterminate epidermal proliferations,737,0,0.0,0.07233152696545497,0.09861030326505264,0.07233358729876455,0.05665047981776176,0.09029703047343647,0.09862559316570059,0.0808726462217956,0.11727239470433477,1000
BCN20000,Deep,diagnosis_2,Malignant adnexal epithelial proliferations - Follicular,2809,0,0.0,0.037211516584963286,0.057756056686748186,0.03732534037702095,0.03135847058067406,0.043237686763745675,0.05785329406523569,0.051189176608666946,0.06431558730166488,1000
BCN20000,Deep,diagnosis_2,Malignant epidermal proliferations,431,0,0.0,0.04916018549681573,0.0732878370249701,0.0496147222239025,0.0331530653959579,0.0674644407081814,0.07371196970346106,0.05433552860085163,0.09436268064582355,1000
BCN20000,Deep,diagnosis_2,Malignant melanocytic proliferations (Melanoma),2857,2857,1.0,0.7100285584281166,0.7581323829488584,0.7102995824658905,0.6950386070061793,0.7243448032807767,0.7583757839155203,0.7447927470611605,0.7716933286359595,1000
BCN20000,Deep,diagnosis_3,Basal cell carcinoma,2809,0,0.0,0.037211516584963286,0.057756056686748186,0.03726168151726148,0.03171905706709306,0.04346884883987919,0.05777942975538588,0.051447779799632436,0.06472360201288933,1000
