dataset,model,subgroup_variable,subgroup_level,N,prevalence,AUC,Brier,cal_slope,cal_intercept,mean_predicted_risk,AUC_ci_low,AUC_ci_high,Brier_ci_low,Brier_ci_high,cal_slope_ci_low,cal_slope_ci_high,cal_intercept_ci_low,cal_intercept_ci_high
BCN20000,ABC-only,age_group,40-59,4179,0.24168461354391002,0.6723622093985984,0.1951378971738541,0.4679334888335917,0.12242021644486456,0.09331651710330224,0.6540386502527972,0.6904048137022513,0.18500281435917146,0.20488489346332772,0.4127062026249135,0.5256223904695335,-0.03976408229065571,0.29039456140209025
BCN20000,ABC-only,age_group,60-74,3275,0.26229007633587786,0.6983261570130059,0.21308861751548516,0.5207325001247717,0.4844901703767041,0.08145493404651603,0.6787617514480071,0.7187145958577134,0.20093596564681745,0.22523558159988996,0.4597466008588784,0.5882018775402721,0.3071378140491185,0.6874880589797415
BCN20000,ABC-only,age_group,<=39,1963,0.11156393275598574,0.6453594319467135,0.1006559921001165,0.4064247762809874,-1.0186644254040171,0.09435988860062659,0.6078368502083352,0.6795547552765592,0.09053492816925762,0.11146683987438809,0.30136403861987165,0.5147158748870316,-1.3108483538335032,-0.7424855695193384
BCN20000,ABC-only,age_group,>=75,2918,0.2590815627141878,0.759538860255789,0.20062545742677654,0.7643925315037732,1.1088502038202999,0.08101156214662783,0.7407071705540963,0.7780439945811988,0.18839156968539922,0.21247485889372136,0.6959300553524307,0.838834239025953,0.9137062183445702,1.3217035939429747
BCN20000,ABC-only,age_group,Missing,78,0.16666666666666666,0.5550295857988166,0.15244219852029287,0.1253749579609252,-1.2555632500824874,0.08954206491538462,0.3746003747496285,0.7367724773262873,0.0872091004223143,0.22219639587906484,-0.34817394167303023,0.6679396964578779,-2.92431687372569,0.17994932220544343
BCN20000,ABC-only,sex,Missing,74,0.17567567567567569,0.5485498108448928,0.16043335024365438,0.10563010759399072,-1.2496144176839445,0.09151757155945946,0.3583035714285715,0.7316936643078283,0.09423318987332491,0.2344820910223727,-0.38729867408449586,0.6444845685419421,-3.0237753032286636,0.15346842508469713
BCN20000,ABC-only,sex,female,5840,0.23613013698630136,0.7113200391630372,0.1891460451176746,0.5734040306599546,0.44829178123495717,0.08328366669935275,0.6958558879145943,0.7263296858837409,0.18056360040673367,0.19759466063392753,0.521178991857217,0.6255997511895323,0.3034514343837928,0.5963804187794352
BCN20000,ABC-only,sex,male,6499,0.22541929527619634,0.6749813893510477,0.18337664440620802,0.48447767282664606,0.08154682447698515,0.09112020324476228,0.6594479545060478,0.6899524200850427,0.1751808581020014,0.19120296858460417,0.4379868296601116,0.5330360016969945,-0.05305808792765527,0.21377518655002273
BCN20000,ABC-only,anatom_site_general,Missing,173,0.06936416184971098,0.7945134575569358,0.06389151368917315,0.7482491415278288,-0.5711953809875627,0.07138991951075145,0.6940695193171608,0.882692901234568,0.03587117692811962,0.09472984727022303,0.43944641394499157,1.1615760603830598,-1.8088541643260705,0.5412407484788317
BCN20000,ABC-only,anatom_site_general,anterior torso,5086,0.22158867479355093,0.6816378527645726,0.17752073640857513,0.5068264654358131,0.040757847322346795,0.10167481312199174,0.6652133163926572,0.6981973847430795,0.16857513469514404,0.18626972116880253,0.45721192910197506,0.5619308654917735,-0.09941554915189553,0.18455157511067277
BCN20000,ABC-only,anatom_site_general,head/neck,3223,0.19702140862550419,0.7047657875841253,0.16221287983772806,0.5901877046463636,0.3062819038574843,0.073760895288278,0.6835921922928301,0.7272845664851458,0.15103258437676445,0.1732360788056885,0.5206920639153148,0.668969757940702,0.09797117529580998,0.5238103312247514
BCN20000,ABC-only,anatom_site_general,lower extremity,2173,0.22503451449608836,0.7033963345622702,0.18257639249980281,0.5405940193068789,0.3107272796803074,0.08175952573191901,0.6791638767227802,0.7287223751351786,0.1692523129653028,0.1967154018063106,0.4658800696002068,0.626085553538724,0.08985201282816913,0.5570175802321793
